# Every metric a rule in docker/prometheus/rules/ may read, and the code
# that emits it. scripts/check_rules.py refuses an expression naming a
# metric that is neither listed here nor a recording rule.
#
# Adding a line is a claim: open the emitting code and check the EXPORTED
# name. cognitx-lite intelligence prefixes every instrument with `cognitx_`
# (app/shared/observability/metrics.py MetricsCollector); obsx turns
# `http.requests_total` into `http_requests_total`; a histogram is read
# through its `_bucket` series. `make check-metrics-live` lists the entries
# with no series on a running Prometheus (normal for a counter that has
# never moved: OTEL exports a series on its first measurement).
#
# name                                                   source

# ── Prometheus / Alertmanager built-ins ──
up                                                       prometheus (scrape health)
process_resident_memory_bytes                            prometheus client (process collector)
prometheus_notifications_alertmanagers_discovered        prometheus
prometheus_rule_evaluation_failures_total                prometheus
alertmanager_notifications_failed_total                  alertmanager

# ── cognitx-serving (obsx HTTP middleware, obsx/_middleware.py) ──
http_requests_total                                      obsx/_middleware.py http.requests_total
http_request_duration_seconds_bucket                     obsx/_middleware.py http.request_duration_seconds

# ── cognitx-lite intelligence ──
cognitx_requests_total                                   cognitx-lite intelligence/app/shared/observability/middleware.py
cognitx_request_errors_total                             cognitx-lite intelligence/app/shared/observability/middleware.py
cognitx_request_duration_seconds_bucket                  cognitx-lite intelligence/app/shared/observability/middleware.py
cognitx_runtime_run_duration_seconds_bucket              cognitx-lite intelligence/app/runtime/metrics.py
cognitx_tool_calls_total                                 cognitx-lite intelligence/app/runtime/metrics.py
cognitx_tool_call_errors_total                           cognitx-lite intelligence/app/runtime/metrics.py
cognitx_runtime_lakehouse_snapshot_unreadable_total      cognitx-lite intelligence/app/runtime/metrics.py (#1258)
cognitx_runtime_dispatch_resolutions_total               cognitx-lite intelligence/app/runtime/metrics.py (#1258)
cognitx_serving_auth_rejections_total                    cognitx-lite intelligence/app/runtime/client/auth_alert.py
cognitx_readiness_check_ok                               cognitx-lite intelligence/app/main.py _publish_readiness (#1258)
cognitx_readiness_check_unverified                       cognitx-lite intelligence/app/main.py _publish_readiness (#1258)
cognitx_bg_job_start_lag_seconds_bucket                  cognitx-lite intelligence/app/shared/background/runner.py
cognitx_automation_ticks_total                           cognitx-lite intelligence/app/domains/automations/metrics.py
cognitx_automation_fire_drift_seconds_bucket             cognitx-lite intelligence/app/domains/automations/metrics.py
cognitx_automation_park_events_total                     cognitx-lite intelligence/app/domains/automations/metrics.py
cognitx_automation_park_emails_total                     cognitx-lite intelligence/app/domains/automations/metrics.py (#1258)
cognitx_automation_budget_skips_total                    cognitx-lite intelligence/app/domains/automations/metrics.py
cognitx_automation_capacity_failures_total               cognitx-lite intelligence/app/domains/automations/metrics.py
cognitx_automation_reconciliations_total                 cognitx-lite intelligence/app/domains/automations/metrics.py
cognitx_automation_reconcile_discrepancies_total         cognitx-lite intelligence/app/domains/automations/metrics.py
cognitx_usage_reconciliation_drift_ratio                 cognitx-lite intelligence/app/runtime/usage_reconcile.py (set_gauge)
cognitx_usage_reconciliation_unavailable_total           cognitx-lite intelligence/app/runtime/usage_reconcile.py (increment_counter)
